SubString Matches,Exact Matches,Word
1,0,jew
1,0,atlanta
1,0,griffin
2,0,69
1,0,wank
1,0,88
1,0,dover
1,0,fb
1,0,bj
6,0,bi
1,0,bb
3,0,cu
4,0,ob
1,0,pk
1,0,ju
1,0,kk
2,0,ho
4,0,id
1,0,tg
3,0,so
1,0,rt
3,0,rk
1,0,ero
1,0,koff
1,0,fic
1,0,cum
1,0,con
1,0,che
1,0,dot
1,0,sandy
1,0,rau
1,1,지랄맞은
1,0,tal
1,0,diaz
1,0,pet
1,0,benga
2,0,james
1,0,jackson
1,0,190
1,0,ote
1,0,osh
1,0,christ
1,0,crystal
1,0,tara
1,0,henry
1,0,milton
1,0,focke
1,0,mos
2,0,ames
1,0,came
1,0,anta
2,0,park
1,0,focker
1,1,negro
1,0,reyes
1,0,jaco
1,0,jerome
1,0,gram
1,0,fock
1,0,toledo
1,0,abe
1,0,lover
1,0,laval
1,0,azi
1,0,nobi
1,0,allgood
1,0,bytch
1,0,troll
1,0,ramos
